,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
10195,84,Bloody Knight,376,626,144,Shadow,Formless,Large,Crit DMG Bonus +20%,Accessory,,"1,867,897",43.73%,43.73%,0.00%,0.00%,18.20%,18.20%,,43.733%,0.000%,43.733%,0.000%,18.200%,0.000%,18.200%,0.000%,,"1,068","1,068",214,214,,"17,262","11,508",0,867,30.00%,24.00%,0.00%,0.00%,16.25%,16.25%,,30.000%,0.000%,24.000%,0.000%,16.250%,0.000%,16.250%,0.000%,,525,350,175,175,,Glast Heim Chivalry,Normal
10115,85,Goblin Steamrider,170,510,97,Wind,Demi-Human,Medium,Bonus DMG to Dragon +12.5%,Weapon,,"1,308,730",48.86%,39.45%,0.00%,0.00%,18.50%,18.50%,,48.860%,0.000%,39.450%,0.000%,18.500%,0.000%,18.500%,0.000%,,"1,318",878,220,220,,"7,307","10,961",0,904,30.40%,24.36%,0.00%,0.00%,16.50%,16.50%,,30.400%,0.000%,24.360%,0.000%,16.500%,0.000%,16.500%,0.000%,,539,359,180,180,,Goblin Forest,Normal
10131,85,Axe-wielding Kobold,340,340,116,Wind,Demi-Human,Medium,"Final M.DEF +5%
Final M.DMG RED +5%",Shoes,,"1,308,730",39.45%,48.86%,0.00%,0.00%,18.50%,18.50%,,39.450%,0.000%,48.860%,0.000%,18.500%,0.000%,18.500%,0.000%,,878,"1,318",220,220,,"7,452","11,178",904,0,24.36%,30.40%,0.00%,0.00%,16.50%,16.50%,,24.360%,0.000%,30.400%,0.000%,16.500%,0.000%,16.500%,0.000%,,359,539,180,180,,Kordt Forest,Normal
10127,86,High Orc,649,389,148,Fire,Demi-Human,Large,Final M.DEF +10%,Clothes,,"2,064,149",49.62%,40.09%,0.00%,0.00%,18.80%,18.80%,,49.620%,0.000%,40.089%,0.000%,18.800%,0.000%,18.800%,0.000%,,"1,356",904,226,226,,"22,635","33,952",0,943,30.80%,24.76%,0.00%,0.00%,16.70%,16.70%,,30.800%,0.000%,24.760%,0.000%,16.700%,0.000%,16.700%,0.000%,,553,369,184,184,,Orc Village,Normal
10171,86,Majoruros,519,519,149,Fire,Brute,Large,SP Regen per 5s +5%,Headgear,,"2,064,149",40.09%,49.62%,0.00%,0.00%,18.80%,18.80%,,40.089%,0.000%,49.620%,0.000%,18.800%,0.000%,18.800%,0.000%,,904,"1,356",226,226,,"24,898","16,599",943,0,24.76%,30.80%,0.00%,0.00%,16.70%,16.70%,,24.760%,0.000%,30.800%,0.000%,16.700%,0.000%,16.700%,0.000%,,369,553,184,184,,Glast Heim,Normal
10135,87,Nightmare,660,396,150,Ghost,Demon,Large,HP Regen per 5s +5%,Headgear,,"2,165,667",50.31%,40.62%,0.00%,0.00%,19.10%,19.10%,,50.309%,0.000%,40.622%,0.000%,19.100%,0.000%,19.100%,0.000%,,"1,392",928,232,232,,"42,930","28,620",0,983,31.20%,25.10%,0.00%,0.00%,16.95%,16.95%,,31.200%,0.000%,25.100%,0.000%,16.950%,0.000%,16.950%,0.000%,,567,378,189,189,,Geffen Dungeon 2F,Normal
10179,87,Sageworm,220,132,50,Neutral,Brute,Small,Physical Reflect +10%,Accessory,,"721,889",40.62%,50.31%,0.00%,0.00%,19.10%,19.10%,,40.622%,0.000%,50.309%,0.000%,19.100%,0.000%,19.100%,0.000%,,928,"1,392",232,232,,"7,391","4,927",983,0,25.10%,31.20%,0.00%,0.00%,16.95%,16.95%,,25.100%,0.000%,31.200%,0.000%,16.950%,0.000%,16.950%,0.000%,,378,567,189,189,,Glast Heim Sewer,Normal
10126,88,Orc Archer,358,358,102,Earth,Demi-Human,Medium,Magic Lifesteal +10%,Accessory,,"1,515,488",51.02%,41.20%,0.00%,0.00%,19.40%,19.40%,,51.018%,0.000%,41.200%,0.000%,19.400%,0.000%,19.400%,0.000%,,"1,431",954,238,238,,"24,074","16,049",0,"1,024",31.60%,25.43%,0.00%,0.00%,17.20%,17.20%,,31.600%,0.000%,25.433%,0.000%,17.200%,0.000%,17.200%,0.000%,,581,388,194,194,,Orc Dungeon,Normal
10159,88,Rotar Zairo,671,403,152,Wind,Demi-Human,Large,Bonus DMG to Brute +12.5%,Weapon,,"2,273,232",32.03%,32.03%,0.00%,0.00%,38.38%,38.38%,,32.029%,0.000%,32.029%,0.000%,38.375%,0.000%,38.375%,0.000%,,596,596,835,835,,"39,632","59,448","1,024",0,25.43%,31.60%,0.00%,0.00%,17.20%,17.20%,,25.433%,0.000%,31.600%,0.000%,17.200%,0.000%,17.200%,0.000%,,388,581,194,194,,Goblin Forest,Normal
10163,89,Wind Ghost,546,182,103,Wind,Demon,Medium,Magic Reflect +10%,Accessory,,"1,590,583",41.78%,51.75%,0.00%,0.00%,19.75%,19.75%,,41.778%,0.000%,51.745%,0.000%,19.750%,0.000%,19.750%,0.000%,,980,"1,471",245,245,,"9,067","13,601","1,069",0,25.80%,32.09%,0.00%,0.00%,17.45%,17.45%,,25.800%,0.000%,32.086%,0.000%,17.450%,0.000%,17.450%,0.000%,,399,598,199,199,,Geffen Dungeon 2F,Normal
10172,89,Zombie Prisoner,182,546,103,Undead,Undead,Medium,Bonus DMG to Plant +12.5%,Weapon,,"1,590,583",32.51%,32.51%,0.00%,0.00%,38.95%,38.95%,,32.514%,0.000%,32.514%,0.000%,38.950%,0.000%,38.950%,0.000%,,613,613,858,858,,"15,141","22,711","1,069",0,25.80%,32.09%,0.00%,0.00%,17.45%,17.45%,,25.800%,0.000%,32.086%,0.000%,17.450%,0.000%,17.450%,0.000%,,399,598,199,199,,Glast Heim Prison,Normal
10164,90,Wraith,833,278,157,Undead,Undead,Large,Crit DMG Reduction +10%,Accessory,,"2,536,957",52.84%,42.69%,0.00%,0.00%,20.20%,20.20%,,52.836%,0.000%,42.689%,0.000%,20.200%,0.000%,20.200%,0.000%,,"1,531","1,021",255,255,,"48,759","32,506",0,"1,116",32.54%,26.17%,0.00%,0.00%,17.75%,17.75%,,32.543%,0.000%,26.167%,0.000%,17.750%,0.000%,17.750%,0.000%,,614,410,205,205,,Geffen Dungeon 2F,Normal
10190,90,Rybio,555,555,157,Neutral,Demon,Large,Final P.DEF +10%,Clothes,,"2,536,957",48.02%,48.02%,0.00%,0.00%,20.20%,20.20%,,48.020%,0.000%,48.020%,0.000%,20.200%,0.000%,20.200%,0.000%,,"1,276","1,276",255,255,,"31,970","47,955",0,"1,116",32.54%,26.17%,0.00%,0.00%,17.75%,17.75%,,32.543%,0.000%,26.167%,0.000%,17.750%,0.000%,17.750%,0.000%,,614,410,205,205,,Glast Heim Churchyard,Normal
10173,91,Brilight,94,282,53,Fire,Insect,Small,"PVP Final P.DMG Reduction +3.6%
 PVP Debuff Resistance +3.6%",Clothes,,"1,056,349",64.92%,64.92%,17.00%,17.00%,37.11%,37.11%,,47.920%,17.000%,47.920%,17.000%,20.160%,16.953%,20.160%,16.953%,,"1,271","1,271",254,254,,"17,344","11,562",0,"1,445",47.41%,33.75%,14.18%,7.09%,25.24%,25.24%,,33.229%,14.177%,26.667%,7.088%,18.150%,7.088%,18.150%,7.088%,,638,425,213,213,,Clock Tower 1F,Normal
10182,91,Sting,141,235,53,Earth,Formless,Small,Final ASPD +50%,Weapon,,"860,309",59.60%,69.75%,17.00%,17.00%,37.11%,37.11%,,42.600%,17.000%,52.745%,17.000%,20.160%,16.953%,20.160%,16.953%,,"1,017","1,526",254,254,,"3,327","4,991","1,177",0,33.75%,47.41%,7.09%,14.18%,25.24%,25.24%,,26.667%,7.088%,33.229%,14.177%,18.150%,7.088%,18.150%,7.088%,,425,638,213,213,,Glast Heim Sewer,Normal
10136,92,Cramp,287,96,54,Poison,Brute,Small,Earth Enhancement +15%,Accessory,,"1,177,150",51.06%,51.06%,17.40%,17.40%,57.76%,57.76%,,33.657%,17.400%,33.657%,17.400%,40.333%,17.423%,40.333%,17.423%,,653,653,915,915,,"12,827","8,551","1,603",0,41.65%,41.03%,14.58%,7.29%,25.74%,25.74%,,27.067%,14.581%,33.743%,7.290%,18.450%,7.290%,18.450%,7.290%,,437,656,219,219,,Clock Tower B1,Normal
10167,92,Injustice,478,287,108,Shadow,Undead,Medium,PVP M.DMG Reduction +360,Shoes,,"1,805,261",60.62%,70.91%,17.40%,17.40%,37.86%,37.86%,,43.222%,17.400%,53.509%,17.400%,20.440%,17.423%,20.440%,17.423%,,"1,045","1,568",261,261,,"7,573","11,360","1,229",0,34.36%,48.32%,7.29%,14.58%,25.74%,25.74%,,27.067%,7.290%,33.743%,14.581%,18.450%,7.290%,18.450%,7.290%,,437,656,219,219,,Glast Heim Churchyard,Normal
10138,93,Bathory,485,291,109,Shadow,Demi-Human,Medium,"PVP Final M.DMG Reduction +3.6%
PVP Debuff Duration Reduction +3.6%",Clothes,,"2,596,387",61.77%,72.19%,17.90%,17.90%,38.62%,38.62%,,43.867%,17.900%,54.291%,17.900%,20.720%,17.899%,20.720%,17.899%,,"1,074","1,611",268,268,,"21,123","31,685","1,760",0,34.99%,49.25%,7.49%,14.99%,26.24%,26.24%,,27.500%,7.494%,34.257%,14.989%,18.750%,7.494%,18.750%,7.494%,,450,674,225,225,,Clock Tower 2F,Normal
10187,93,Skeleton Prisoner,388,388,109,Undead,Undead,Medium,PVP DMG Reduction +360,Shoes,,"1,892,907",67.24%,67.24%,17.90%,17.90%,38.62%,38.62%,,49.340%,17.900%,49.340%,17.900%,20.720%,17.899%,20.720%,17.899%,,"1,342","1,342",268,268,,"28,490","18,993",0,"1,283",49.25%,34.99%,14.99%,7.49%,26.24%,26.24%,,34.257%,14.989%,27.500%,7.494%,18.750%,7.494%,18.750%,7.494%,,674,450,225,225,,Glast Heim Prison,Normal
10139,94,Alarm,296,493,111,Neutral,Formless,Medium,Neutral Enhancement +15%,Headgear,,"2,845,267",73.50%,62.93%,18.40%,18.40%,39.44%,39.44%,,55.100%,18.400%,44.533%,18.400%,21.040%,18.400%,21.040%,18.400%,,"1,656","1,104",276,276,,"15,652","23,477",0,"1,918",42.50%,43.30%,7.70%,15.40%,26.75%,26.75%,,34.800%,7.700%,27.900%,15.400%,19.050%,7.700%,19.050%,7.700%,,693,462,231,231,,Clock Tower B2,Normal
10194,94,Abysmal Knight,739,443,166,Shadow,Demi-Human,Large,Final Haste +5%,Weapon,,"2,978,873",68.49%,68.49%,18.40%,18.40%,39.44%,39.44%,,50.091%,18.400%,50.091%,18.400%,21.040%,18.400%,21.040%,18.400%,,"1,380","1,380",276,276,,"32,130","48,196",0,"1,339",42.50%,43.30%,7.70%,15.40%,26.75%,26.75%,,34.800%,7.700%,27.900%,15.400%,19.050%,7.700%,19.050%,7.700%,,693,462,231,231,,Glast Heim Chivalry,Normal
10137,95,Punk,150,250,56,Wind,Plant,Small,"PVP Final P.DMG Reduction +3.6%
 PVP Debuff Duration Reduction +3.6%",Cloak,,"1,548,184",64.06%,74.73%,18.90%,18.90%,40.21%,40.21%,,45.160%,18.900%,55.833%,18.900%,21.320%,18.885%,21.320%,18.885%,,"1,133","1,700",283,283,,"24,935","16,623","2,078",0,44.12%,43.21%,15.82%,7.91%,27.26%,27.26%,,28.300%,15.816%,35.300%,7.908%,19.350%,7.908%,19.350%,7.908%,,474,712,237,237,,Clock Tower 1F,Normal
10170,95,Raydric Archer,400,400,112,Shadow,Demon,Medium,Final Crit +10%,Weapon,,"2,079,900",54.10%,54.10%,18.90%,18.90%,60.91%,60.91%,,35.200%,18.900%,35.200%,18.900%,42.022%,18.885%,42.022%,18.885%,,708,708,991,991,,"12,841","19,261","1,396",0,36.21%,51.12%,7.91%,15.82%,27.26%,27.26%,,28.300%,7.908%,35.300%,15.816%,19.350%,7.908%,19.350%,7.908%,,474,712,237,237,,Glast Heim St. Abbey,Normal
10144,96,Penomena,761,457,171,Poison,Fish,Large,Fire Enhancement +15%,Accessory,,"5,030,652",65.14%,75.97%,19.40%,19.40%,41.02%,41.02%,,45.740%,19.400%,56.567%,19.400%,21.640%,19.375%,21.640%,19.375%,,"1,162","1,744",291,291,,"31,353","47,030","2,361",0,41.29%,58.68%,9.69%,19.38%,31.33%,31.33%,,31.600%,9.687%,39.300%,19.375%,21.640%,9.687%,21.640%,9.687%,,581,872,291,291,,Clock Tower B1,Normal
10175,96,Joker,761,457,171,Wind,Demi-Human,Large,Poison Enhancement +15%,Headgear,,"5,030,652",75.97%,65.14%,19.40%,19.40%,41.02%,41.02%,,56.567%,19.400%,45.740%,19.400%,21.640%,19.375%,21.640%,19.375%,,"1,744","1,162",291,291,,"48,750","73,126",0,"2,240",43.89%,44.97%,8.12%,16.24%,27.82%,27.82%,,35.775%,8.118%,28.733%,16.235%,19.700%,8.118%,19.700%,8.118%,,731,487,244,244,,Clock Tower 2F,Normal
10096,97,Evil Druid,927,309,173,Undead,Undead,Large,Crit DMG Bonus +24%,Weapon,,"5,427,363",66.24%,77.20%,19.90%,19.90%,41.79%,41.79%,,46.340%,19.900%,57.300%,19.900%,21.920%,19.869%,21.920%,19.869%,,"1,192","1,788",298,298,,"131,657","87,772","2,406",0,45.82%,44.58%,16.66%,8.33%,28.33%,28.33%,,29.167%,16.658%,36.250%,8.329%,20.000%,8.329%,20.000%,8.329%,,500,750,250,250,,Clock Tower 1F,Normal
10180,97,Dark Frame,206,206,58,Shadow,Demon,Small,Water Enhancement +15%,Accessory,,"1,809,121",66.24%,77.20%,19.90%,19.90%,41.79%,41.79%,,46.340%,19.900%,57.300%,19.900%,21.920%,19.869%,21.920%,19.869%,,"1,192","1,788",298,298,,"11,806","17,708","2,406",0,37.50%,52.91%,8.33%,16.66%,28.33%,28.33%,,29.167%,8.329%,36.250%,16.658%,20.000%,8.329%,20.000%,8.329%,,500,750,250,250,,Clock Tower B1,Normal
10184,98,Khalitzburg,470,784,175,Undead,Undead,Large,PVP Final P.DMG Bonus +6%,Weapon,,"5,845,740",78.50%,67.38%,20.40%,20.40%,42.64%,42.64%,,58.100%,20.400%,46.980%,20.400%,22.240%,20.404%,22.240%,20.404%,,"1,836","1,224",306,306,,"61,847","41,232",0,"2,577",53.82%,38.15%,17.10%,8.55%,28.79%,28.79%,,36.725%,17.097%,29.600%,8.549%,20.240%,8.549%,20.240%,8.549%,,769,513,256,256,,Clock Tower 2F,Normal
10193,98,Wanderer,209,627,117,Wind,Demon,Medium,"PVP Final M.DMG Reduction +3.6%
 PVP Debuff Resistance +3.6%",Cloak,,"3,897,160",78.50%,67.38%,20.40%,20.40%,42.64%,42.64%,,58.100%,20.400%,46.980%,20.400%,22.240%,20.404%,22.240%,20.404%,,"1,836","1,224",306,306,,"20,719","13,813",0,"2,577",53.82%,38.15%,17.10%,8.55%,28.79%,28.79%,,36.725%,17.097%,29.600%,8.549%,20.240%,8.549%,20.240%,8.549%,,769,513,256,256,,Nightmare Clock Tower,Normal
10141,99,Clock,636,212,118,Earth,Formless,Medium,Holy Enhancement +15%,Headgear,,"4,182,714",58.03%,58.03%,20.90%,20.90%,65.35%,65.35%,,37.125%,20.900%,37.125%,20.900%,44.422%,20.932%,44.422%,20.932%,,785,785,"1,099","1,099",,"24,013","36,019","2,754",0,38.83%,54.80%,8.78%,17.55%,29.30%,29.30%,,30.057%,8.776%,37.250%,17.552%,20.520%,8.776%,20.520%,8.776%,,527,790,263,263,,Clock Tower B2,Normal
10185,99,Zealotus,424,424,118,Neutral,Demi-Human,Medium,Wind Enhance +15%,Accessory,,"4,182,714",79.80%,68.52%,20.90%,20.90%,43.49%,43.49%,,58.900%,20.900%,47.620%,20.900%,22.560%,20.932%,22.560%,20.932%,,"1,884","1,256",314,314,,"26,436","17,624",0,"2,754",54.80%,38.83%,17.55%,8.78%,29.30%,29.30%,,37.250%,17.552%,30.057%,8.776%,20.520%,8.776%,20.520%,8.776%,,790,527,263,263,,Nightmare Clock Tower,Normal
10142,100,Clock Tower Manager,645,645,180,Neutral,Formless,Large,Ghost Enhancement +15%,Headgear,,"6,784,779",59.53%,59.53%,21.70%,21.70%,66.97%,66.97%,,37.825%,21.700%,37.825%,21.700%,45.280%,21.686%,45.280%,21.686%,,813,813,"1,139","1,139",,"50,244","75,366","2,935",0,39.43%,55.76%,9.01%,18.01%,29.81%,29.81%,,30.429%,9.005%,37.750%,18.010%,20.800%,9.005%,20.800%,9.005%,,540,810,270,270,,Clock Tower B2,Normal
10192,100,Phendark,323,968,180,Neutral,Demi-Human,Large,PVP Final M.DMG Bonus +6%,Weapon,,"6,784,779",76.26%,76.26%,21.70%,21.70%,44.69%,44.69%,,54.564%,21.700%,54.564%,21.700%,23.000%,21.686%,23.000%,21.686%,,"1,626","1,626",325,325,,"122,557","81,705",0,"2,935",55.76%,39.43%,18.01%,9.01%,29.81%,29.81%,,37.750%,18.010%,30.429%,9.005%,20.800%,9.005%,20.800%,9.005%,,810,540,270,270,,Nightmare Clock Tower,Normal
10199,101,Raggler,164,273,60,Wind,Brute,Small,"PVP Final Mdmg RED +3.5%
 MaxHP +14%",Shoes,,"2,447,681",72.04%,83.70%,22.50%,22.50%,46.05%,46.05%,,49.540%,22.500%,61.200%,22.500%,23.520%,22.529%,23.520%,22.529%,,"1,352","2,028",338,338,,"32,002","21,335","4,000",0,58.93%,55.53%,23.68%,11.84%,36.04%,36.04%,,35.250%,23.682%,43.689%,11.841%,24.200%,11.841%,24.200%,11.841%,,710,"1,066",355,355,,Sanderman East,Normal
10205,101,Tri Joint,327,109,60,Earth,Insect,Small,"Water attribute enchancement +17.5%
 Wind attribute enchancement +17.5%",Weapon,,"2,447,681",106.53%,96.22%,54.10%,54.10%,38.82%,38.82%,,68.229%,38.300%,57.917%,38.300%,20.800%,18.023%,20.800%,18.023%,,"2,501","1,825",270,270,,"15,891","23,369",0,"4,891",63.06%,66.83%,17.00%,28.20%,46.30%,44.03%,,46.160%,16.900%,38.625%,28.200%,29.400%,16.900%,27.133%,16.900%,,"1,183",845,507,439,,Zenhai Marsh,Normal
10067,102,Shellfish,166,276,61,Water,Fish,Small,"Earth attribute enchancement +17.5%
 Fire attribute enchancement +17.5%",Weapon,,"2,613,990",94.58%,108.49%,57.80%,57.80%,39.63%,39.63%,,57.583%,37.000%,69.186%,39.300%,21.120%,18.509%,21.120%,18.509%,,"1,805","2,568",278,278,,"24,275","16,813","5,175","1,725",68.10%,64.20%,29.00%,17.40%,47.22%,44.88%,,39.200%,28.900%,46.800%,17.400%,29.867%,17.350%,27.533%,17.350%,,868,"1,215",521,451,,Kokomo Beach,Normal
10202,102,Thara Frog,221,663,123,Water,Fish,Medium,"MaxHP +14%
 Final Def +7%",Cloak,,"5,227,980",94.58%,108.49%,57.80%,57.80%,39.63%,39.63%,,57.583%,37.000%,69.186%,39.300%,21.120%,18.509%,21.120%,18.509%,,"1,805","2,568",278,278,,"59,235","87,111","5,175","1,725",56.60%,75.70%,17.00%,28.90%,47.22%,44.88%,,39.200%,17.400%,46.800%,28.900%,29.867%,17.350%,27.533%,17.350%,,868,"1,215",521,451,,Papuchicha Forest,Normal
10062,103,Megalodon,504,840,187,Undead,Undead,Large,"Holy attribute enchancement +17.5%
 Neutral attribute enchancement +17.5%",Weapon,,"8,348,021",96.33%,110.41%,59.30%,59.30%,40.38%,40.38%,,58.333%,38.000%,70.107%,40.300%,21.400%,18.976%,21.400%,18.976%,,"1,850","2,633",285,285,,"154,076","226,583","5,460","1,820",57.55%,77.10%,18.00%,29.70%,48.05%,45.72%,,39.750%,17.800%,47.400%,29.700%,30.257%,17.790%,27.933%,17.790%,,890,"1,245",534,463,,Comodo Cave,Normal
10198,103,Sea Otter,448,448,124,Water,Brute,Medium,"Stun RES +33.6%
 Curse RES +33.6%",Accessory,,"5,565,348",110.41%,99.82%,56.90%,56.90%,40.38%,40.38%,,70.107%,40.300%,59.517%,40.300%,21.400%,18.976%,21.400%,18.976%,,"2,633","1,921",285,285,,"51,413","34,961",0,"5,460",77.10%,57.55%,30.00%,17.80%,48.05%,45.72%,,47.400%,29.700%,39.750%,17.800%,30.257%,17.790%,27.933%,17.790%,,"1,245",890,534,463,,Sanderman East,Normal
10201,104,Stem Worm,341,568,126,Wind,Plant,Medium,"FRZ RES +33.6%
 Blind RES +33.6%",Accessory,,"5,913,731",112.27%,101.59%,58.30%,58.30%,41.13%,41.13%,,70.973%,41.300%,60.292%,41.300%,21.680%,19.448%,21.680%,19.448%,,"2,698","1,969",292,292,,"71,900","48,892",0,"5,752",78.42%,58.47%,30.00%,18.20%,48.86%,46.53%,,48.020%,30.400%,40.267%,18.200%,30.629%,18.230%,28.300%,18.230%,,"1,276",912,547,474,,Papuchicha Forest,Normal
10207,104,Nereid,170,284,63,Earth,Brute,Small,Final Pdmg bonus +14%,Headgear,,"2,956,865",85.87%,85.87%,70.50%,70.50%,51.11%,64.55%,,56.667%,29.200%,56.667%,29.200%,31.657%,19.448%,45.100%,19.448%,,"1,750","1,750",583,"1,130",,"16,949","24,925","5,752","1,917",58.47%,78.42%,18.00%,30.40%,48.86%,46.53%,,40.267%,18.200%,48.020%,30.400%,30.629%,18.230%,28.300%,18.230%,,912,"1,276",547,474,,Zenhai Marsh,Normal
10196,105,Aster,345,115,63,Earth,Fish,Small,"Ghost attribute enchancement +17.5%
 Poison attribute enchancement +17.5%",Weapon,,"3,136,707",87.28%,87.28%,72.20%,72.20%,52.01%,65.58%,,57.383%,29.900%,57.383%,29.900%,32.086%,19.923%,45.660%,19.923%,,"1,793","1,793",598,"1,158",,"28,806","42,362","6,052","2,017",59.46%,79.74%,19.00%,31.10%,49.68%,47.38%,,40.756%,18.700%,48.640%,31.100%,31.000%,18.680%,28.700%,18.680%,,934,"1,307",560,486,,Kokomo Beach,Normal
10209,105,Megalith,690,690,191,Neutral,Formless,Large,PVP Damage RED +420,Cloak,,"9,410,122",114.15%,103.33%,59.80%,59.80%,41.88%,41.88%,,71.853%,42.300%,61.031%,42.300%,21.960%,19.923%,21.960%,19.923%,,"2,764","2,017",299,299,,"134,145","91,219",0,"6,052",79.74%,59.46%,31.00%,18.70%,49.68%,47.38%,,48.640%,31.100%,40.756%,18.700%,31.000%,18.680%,28.700%,18.680%,,"1,307",934,560,486,,Comodo Cave,Normal
10208,106,Alligator,1049,350,194,Water,Brute,Large,Healing Bonus +14%,Headgear,,"9,932,274",115.81%,104.88%,61.00%,61.00%,42.53%,42.53%,,72.613%,43.200%,61.677%,43.200%,22.200%,20.332%,22.200%,20.332%,,"2,821","2,059",305,305,,"78,998","116,173",0,"6,337",68.28%,72.98%,19.00%,31.80%,0.00%,48.09%,,49.180%,19.100%,41.178%,31.800%,0.000%,0.000%,29.033%,19.060%,,"1,334",953,0,496,,Zenhai Marsh,Normal
10210,106,Seal,350,583,129,Water,Brute,Medium,Final P.PEN+14%,Weapon,,"6,621,516",115.81%,104.88%,61.00%,61.00%,42.53%,42.53%,,72.613%,43.200%,61.677%,43.200%,22.200%,20.332%,22.200%,20.332%,,"2,821","2,059",305,305,,"85,018","57,812",0,"6,337",80.98%,60.28%,32.00%,19.10%,50.40%,48.09%,,49.180%,31.800%,41.178%,19.100%,31.343%,19.060%,29.033%,19.060%,,"1,334",953,572,496,,Sanderman East,Normal
10203,107,Galapago,354,590,131,Earth,Brute,Medium,Final Crit +14%,Accessory,,"7,004,055",89.92%,89.92%,75.50%,75.50%,53.64%,67.52%,,58.717%,31.200%,58.717%,31.200%,32.829%,20.816%,46.700%,20.816%,,"1,873","1,873",624,"1,210",,"53,897","79,261","6,651","2,217",61.19%,82.32%,20.00%,32.50%,51.23%,48.92%,,41.689%,19.500%,49.820%,32.500%,31.714%,19.520%,29.400%,19.520%,,976,"1,366",585,507,,Sanderman East,Normal
10204,107,Pest,295,177,65,Shadow,Brute,Small,PVP Magic Damage RED +420,Clothes,,"3,502,027",117.71%,106.63%,62.40%,62.40%,43.30%,43.30%,,73.507%,44.200%,62.431%,44.200%,22.480%,20.816%,22.480%,20.816%,,"2,888","2,108",312,312,,"25,866","17,589",0,"6,651",82.32%,61.19%,33.00%,19.50%,51.23%,48.92%,,49.820%,32.500%,41.689%,19.500%,31.714%,19.520%,29.400%,19.520%,,"1,366",976,585,507,,Papuchicha Forest,Normal
10200,108,Anolian,478,478,132,Water,Fish,Medium,"Max HP +14%
 Final MDEF +7%",Clothes,,"7,398,718",119.71%,108.48%,63.90%,63.90%,44.11%,44.11%,,74.413%,45.300%,63.185%,45.300%,22.800%,21.305%,22.800%,21.305%,,"2,956","2,157",320,320,,"35,566","52,302",0,"6,974",70.42%,75.50%,20.00%,33.30%,52.08%,49.77%,,50.418%,20.000%,42.200%,33.300%,32.114%,19.970%,29.800%,19.970%,,"1,398",999,599,519,,Zenhai Marsh,Normal
10206,108,Rogue,478,478,132,Neutral,Demi-Human,Medium,"Final Crit +7%
 Crit DMG +14%",Headgear,,"7,398,718",119.71%,108.48%,63.90%,63.90%,44.11%,44.11%,,74.413%,45.300%,63.185%,45.300%,22.800%,21.305%,22.800%,21.305%,,"2,956","2,157",320,320,,"43,469","63,925",0,"6,974",70.42%,75.50%,20.00%,33.30%,52.08%,49.77%,,50.418%,20.000%,42.200%,33.300%,32.114%,19.970%,29.800%,19.970%,,"1,398",999,599,519,,Papuchicha Forest,Normal
10197,109,Crab,242,242,67,Water,Fish,Small,Final M.PEN +14%,Weapon,,"3,902,883",92.88%,92.88%,79.00%,79.00%,55.48%,69.64%,,60.185%,32.700%,60.185%,32.700%,33.686%,21.798%,47.840%,21.798%,,"1,962","1,962",654,"1,267",,"27,317","40,172","7,304","2,435",63.11%,85.10%,20.00%,34.10%,52.95%,50.61%,,42.711%,20.400%,51.000%,34.100%,32.514%,20.440%,30.171%,20.440%,,"1,022","1,430",613,531,,Kokomo Beach,Normal
10212,109,Gargoyle,484,484,134,Wind,Demon,Medium,Physical Reflect +14%,Accessory,,"7,805,766",92.88%,92.88%,79.00%,79.00%,55.48%,69.64%,,60.185%,32.700%,60.185%,32.700%,33.686%,21.798%,47.840%,21.798%,,"1,962","1,962",654,"1,267",,"42,217","62,084","7,304","2,435",63.11%,85.10%,20.00%,34.10%,61.45%,51.74%,,42.711%,20.400%,51.000%,34.100%,61.446%,0.000%,30.171%,21.567%,,"1,022","1,430","2,044",531,,Comodo Cave,Normal
10077,110,Merman,613,368,136,Water,Demi-Human,Medium,"PVP Final Pdmg RED +3.5%
 MaxHP +14%",Shoes,,"8,306,336",116.03%,116.03%,70.40%,70.40%,46.03%,46.03%,,71.027%,45.000%,71.027%,45.000%,23.520%,22.514%,23.520%,22.514%,,"2,702","2,702",338,338,,"59,168","40,234",0,"7,718",87.05%,64.54%,35.00%,21.10%,54.20%,51.80%,,51.855%,35.200%,43.444%,21.100%,33.086%,21.110%,30.686%,21.110%,,"1,477","1,055",633,549,,Kokomo Beach,Normal
10211,110,Stalactic Golem,368,1103,204,Neutral,Formless,Large,Final Mdmg Bonus +14%,Headgear,,"12,459,505",124.35%,112.87%,67.50%,67.50%,46.03%,46.03%,,76.550%,47.800%,65.071%,47.800%,23.520%,22.514%,23.520%,22.514%,,"3,124","2,280",338,338,,"110,207","162,069",0,"7,718",72.95%,78.64%,21.00%,35.20%,54.20%,51.80%,,51.855%,21.100%,43.444%,35.200%,33.086%,21.110%,30.686%,21.110%,,"1,477","1,055",633,549,,Comodo Cave,Normal
